Country,EHYPE,OBS,A_OBS,A_EHYPE,Diff_A,Dist,Quality,JPG_peak,Double_EHYPE_catch
IT,9001070,3675,207.4,215,3.6%,1.6,NA,NA,NA
IT,9740616,5715,419.7,428.3,2.0%,2.1,NA,NA,NA
IT,9783013,6735,1929.4,2148,11.3%,9.9,NA,NA,NA
IT,9001106,6979,2899.1,3152.9,8.8%,12.5,NA,NA,NA
IT,9782936,7989,4199.3,3770,10.2%,14.4,NA,NA,NA
IT,9783018,8555,7000.6,7033.4,0.5%,6.8,NA,NA,NA
AT,9608296,201236,394.2,410.3,4.1%,3.9,1,looks ok,NA
AT,9608974,201277,270.7,274,1.2%,2.5,1,looks ok,NA
AT,9608705,201392,512,478,6.6%,5.1,0,looks ok,NA
AT,9616258,201434,785.2,892.2,13.6%,8.6,0,looks ok,NA
AT,9602501,201624,853.6,854.2,0.1%,1.5,0,looks ok,NA
